departamento,valor_adjudicado,fecha_publicacion,estado_adjudicacion,anio_publicacion
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-18,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-03-08,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,40000,2025-07-23,SI,2025.0
ANTIOQUIA,0,2026-01-18,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-11-06,NO,2024.0
CALDAS,0,2021-08-05,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-22,NO,2026.0
PUTUMAYO,0,2025-05-16,NO,2025.0
CUNDINAMARCA,0,2024-08-06,NO,2024.0
ANTIOQUIA,0,2025-10-31,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,37842000,2025-07-31,SI,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-01-25,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2019-04-29,NO,2019.0
NARIÑO,0,2025-02-10,NO,2025.0
ANTIOQUIA,0,2024-10-01,NO,2024.0
SANTANDER,305644297,2025-12-30,SI,2025.0
ANTIOQUIA,0,2023-04-13,NO,2023.0
NO DEFINIDO,0,2024-04-12,NO,2024.0
PUTUMAYO,0,2023-06-16,NO,2023.0
ANTIOQUIA,0,2023-02-17,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2018-01-10,NO,2018.0
HUILA,0,2024-11-15,NO,2024.0
CAUCA,0,2024-10-30,NO,2024.0
ANTIOQUIA,0,2023-03-29,NO,2023.0
TOLIMA,0,2018-10-31,NO,2018.0
LA GUAJIRA,0,2023-08-10,NO,2023.0
VALLE DEL CAUCA,0,2025-09-02,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-09-05,NO,2025.0
SANTANDER,0,2020-02-07,NO,2020.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-28,NO,2026.0
ANTIOQUIA,0,2023-02-24,NO,2023.0
ATLÁNTICO,0,2024-08-01,NO,2024.0
NO DEFINIDO,0,2023-02-03,NO,2023.0
ANTIOQUIA,0,2024-02-10,NO,2024.0
ANTIOQUIA,0,2026-01-23,NO,2026.0
CASANARE,0,2023-06-28,NO,2023.0
NARIÑO,82076690,2025-11-13,SI,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-01-04,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-23,NO,2026.0
TOLIMA,0,2023-09-19,NO,2023.0
CUNDINAMARCA,0,2022-10-10,NO,2022.0
VALLE DEL CAUCA,0,2023-04-03,NO,2023.0
NORTE DE SANTANDER,0,2022-10-31,NO,2022.0
ANTIOQUIA,0,2025-08-27,NO,2025.0
NO DEFINIDO,0,2024-12-12,NO,2024.0
CUNDINAMARCA,0,2026-02-03,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,1634865104,2024-07-16,SI,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-04-01,NO,2024.0
