departamento,anio_publicacion,valor_adjudicado_total
DISTRITO CAPITAL DE BOGOTÁ,2015.0,197000
DISTRITO CAPITAL DE BOGOTÁ,2016.0,12040
DISTRITO CAPITAL DE BOGOTÁ,2017.0,768880211
"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2017.0,17423100
CASANARE,2017.0,4000000
ANTIOQUIA,2017.0,0
HUILA,2017.0,0
NO DEFINIDO,2017.0,0
DISTRITO CAPITAL DE BOGOTÁ,2018.0,6627548866
ANTIOQUIA,2018.0,260461613
BOLÍVAR,2018.0,1720000
META,2018.0,0
TOLIMA,2018.0,0
HUILA,2018.0,0
NO DEFINIDO,2018.0,0
VALLE DEL CAUCA,2018.0,0
BOYACÁ,2018.0,0
DISTRITO CAPITAL DE BOGOTÁ,2019.0,7640086373
CALDAS,2019.0,1053492923
ARAUCA,2019.0,195184416
CUNDINAMARCA,2019.0,80840473
SANTANDER,2019.0,25033506
NORTE DE SANTANDER,2019.0,24697250
HUILA,2019.0,15000000
VALLE DEL CAUCA,2019.0,14945325
NARIÑO,2019.0,12000000
RISARALDA,2019.0,11305000
NO DEFINIDO,2019.0,3300000
ANTIOQUIA,2019.0,2524434
BOLÍVAR,2019.0,0
MAGDALENA,2019.0,0
TOLIMA,2019.0,0
CAUCA,2019.0,0
DISTRITO CAPITAL DE BOGOTÁ,2020.0,5615674867
ANTIOQUIA,2020.0,1755487289
SANTANDER,2020.0,1042496980
NO DEFINIDO,2020.0,396690416
CALDAS,2020.0,294788233
BOYACÁ,2020.0,194100000
META,2020.0,192499041
VALLE DEL CAUCA,2020.0,189874203
ATLÁNTICO,2020.0,66670235
PUTUMAYO,2020.0,36602261
CUNDINAMARCA,2020.0,16741100
TOLIMA,2020.0,13746648
BOLÍVAR,2020.0,11832849
QUINDÍO,2020.0,5911099
HUILA,2020.0,3650000
ARAUCA,2020.0,2028769
CASANARE,2020.0,0
CAUCA,2020.0,0
NORTE DE SANTANDER,2020.0,0
"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2020.0,0
CÓRDOBA,2020.0,0
NARIÑO,2020.0,0
DISTRITO CAPITAL DE BOGOTÁ,2021.0,5887222158
CESAR,2021.0,1666494000
ANTIOQUIA,2021.0,452826231
LA GUAJIRA,2021.0,35979933
SUCRE,2021.0,28294392
BOLÍVAR,2021.0,20287499
SANTANDER,2021.0,18650000
BOYACÁ,2021.0,2105327
CASANARE,2021.0,1785000
AMAZONAS,2021.0,0
CALDAS,2021.0,0
CAQUETÁ,2021.0,0
CAUCA,2021.0,0
CHOCÓ,2021.0,0
CUNDINAMARCA,2021.0,0
HUILA,2021.0,0
META,2021.0,0
PUTUMAYO,2021.0,0
QUINDÍO,2021.0,0
RISARALDA,2021.0,0
TOLIMA,2021.0,0
VALLE DEL CAUCA,2021.0,0
ARAUCA,2021.0,0
NARIÑO,2021.0,0
NO DEFINIDO,2021.0,0
NORTE DE SANTANDER,2021.0,0
